CollectionId,Location,Date,Status,FieldAgent,Do you consent to participate in this survey?,Q1\. Age,Q2\. Gender,"""Q3\. In an average month, roughly how much do you personally spend on non-essential items (entertainment, dining out, personal care, gadgets, etc\.)?""","""Q4\. Who is the primary decision-maker for major household purchases (appliances, electronics, vehicles)?""",Q5\. How often do you choose branded/premium products over cheaper generic alternatives?,Q6\. Highest level of education completed,Q7\. Employment status,Q8\. Occupation category of the chief income earner in your household,Q9\. Housing tenure,Q10\. Which of these does your household currently have? (select all that apply),Q11\. Household monthly income bracket,Q12\. How many people (including you) depend on this household income?,Q13\. State of residence (where you currently live?)
443368078,"11.9917316, 8.5782163","Aug 26th 2026, 9:28 am",pending,penninah Yakubu ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""3–4""","""Kano"""
267447629,"9.8957046, 11.2163963","Aug 26th 2026, 9:28 am",pending,yakubu mela ,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide alone""","""Sometimes""","""Postgraduate""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Car
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop","""₦150,001 – ₦350,000""","""1–2""","""Gombe"""
299957168,"5.1723621, 7.6865225","Aug 26th 2026, 9:29 am",pending,Imoh Simeon Akpakaden ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Generator
Refrigerator
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)","""₦50,000 – ₦150,000""","""1–2""","""Akwa Ibom"""
127635459,"7.6154869, 5.1320514","Aug 26th 2026, 9:30 am",pending,Alexander ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Ondo"""
378679325,"10.2908523, 11.1389108","Aug 26th 2026, 9:30 am",pending,umar Abdulkadir Turaki ,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""",Smartphone,"""Below ₦50,000""","""1–2""","""Gombe"""
271308958,"5.061038, 8.3641428","Aug 26th 2026, 9:31 am",pending,Precious ,"""yes""","""18–24""","""Female""","""₦10,000 – ₦29,999""","""Another household member/head decides""","""Often""","""HND/Bachelor's degree""","""Student""","""Middle management / skilled / supervisory""","""Living with family / free housing""","Car
Smartphone
Computer/laptop
Generator
Cable/satellite TV (DSTV, GOtv, etc.)","""₦50,000 – ₦150,000""","""1–2""","""Cross River"""
11802006,"13.0362171, 8.3183619","Aug 26th 2026, 9:31 am",pending,Mustapha Umar Muhammad,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""Postgraduate""","""Employed part-time""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Generator
Cable/satellite TV (DSTV, GOtv, etc.)","""₦150,001 – ₦350,000""","""1–2""","""Jigawa"""
348867053,"5.0249094, 8.3333139","Aug 26th 2026, 9:32 am",pending,favour effiomita effiom ,"""yes""","""25–34""","""Male""","""₦70,000 – ₦150,000""","""I decide alone""","""Always""","""HND/Bachelor's degree""","""Employed full-time""","""Junior staff / semi-skilled""","""Own home — detached house/duplex""","Computer/laptop
Smartphone
Refrigerator","""₦50,000 – ₦150,000""","""1–2""","""Cross River"""
387776957,"12.2252873, 4.3807955","Aug 26th 2026, 9:32 am",pending,MUSTAPHA LAWAL,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Rarely""","""Postgraduate""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Living with family / free housing""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""7+""","""Kebbi"""
463523865,"6.6105597, 3.3095122","Aug 26th 2026, 9:34 am",pending,Olusegun Coker ,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Often""","""Postgraduate""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Smartphone
Computer/laptop
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Generator
Car
Air conditioner","""₦150,001 – ₦350,000""","""5–6""","""Lagos"""
112938736,"7.4916295, 4.5322857","Aug 26th 2026, 9:35 am",pending,Ajadi Glory ,"""yes""","""25–34""","""Female""","""Less than ₦10,000""","""I am not involved in these decisions""","""Rarely""","""Secondary""","""Student""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""",,"""Below ₦50,000""","""7+""","""Osun"""
88068860,"11.1720364, 9.7506176","Aug 26th 2026, 9:37 am",pending,iliya Haruna ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Living with family / free housing""","Smartphone
Computer/laptop
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Generator","""₦50,000 – ₦150,000""","""3–4""","""Bauchi"""
423157303,"6.3983931, 7.4897026","Aug 26th 2026, 9:37 am",pending,Joy Godwin ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Always""","""HND/Bachelor's degree""","""Unemployed""","""Unemployed / none""","""Living with family / free housing""","Generator
Refrigerator
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop","""₦50,000 – ₦150,000""","""3–4""","""Enugu"""
245199255,"9.2676391, 12.4110232","Aug 26th 2026, 9:38 am",pending,Garba Musa Gambo ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""OND/NCE""","""Employed full-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Adamawa"""
120765672,"9.2673626, 12.4121136","Aug 26th 2026, 9:38 am",pending,Garba Musa Gambo ,"""yes""","""35–44""","""Male""","""More than ₦150,000""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Car
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Adamawa"""
65540634,"9.2677166, 12.4107383","Aug 26th 2026, 9:38 am",pending,Garba Musa Gambo ,"""yes""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Often""","""OND/NCE""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Own home — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Adamawa"""
26052290,"10.3153963, 9.833245","Aug 26th 2026, 9:42 am",pending,Sandra Stephen ,"""yes""","""25–34""","""Female""","""Less than ₦10,000""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Own home — detached house/duplex""","Generator
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Bauchi"""
187948995,"7.7371365, 8.5149715","Aug 26th 2026, 9:44 am",pending,Ode Ernest ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Smartphone
Computer/laptop
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Generator","""₦50,000 – ₦150,000""","""1–2""","""Benue"""
157927422,"7.4473965, 4.0109822","Aug 26th 2026, 9:44 am",pending,Esther Temiloluwa,"""yes""","""18–24""","""Female""","""₦10,000 – ₦29,999""","""I am not involved in these decisions""","""Always""","""HND/Bachelor's degree""","""Unemployed""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Car
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦350,001 – ₦700,000""","""7+""","""Kano"""
424920714,"6.413235, 7.879605","Aug 26th 2026, 9:44 am",pending,Nnamchi Rita chimezie ,"""yes""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide alone""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Unskilled / casual labor""","""Rented — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Refrigerator","""₦50,000 – ₦150,000""","""3–4""","""Ebonyi"""
167011641,"9.9134783, 8.9410117","Aug 26th 2026, 9:46 am",pending,Irene ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""Postgraduate""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Plateau"""
79801974,"9.9134783, 8.9410117","Aug 26th 2026, 9:46 am",pending,Irene ,"""no""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide alone""","""Often""","""Postgraduate""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Plateau"""
133706284,"9.9133567, 8.94106","Aug 26th 2026, 9:46 am",pending,Irene ,"""yes""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide alone""","""Sometimes""","""Postgraduate""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Plateau"""
334810408,"11.981981981981981, 8.583403566681538","Aug 26th 2026, 9:46 am",pending,tolu kayode,"""yes""","""35–44""","""Female""","""More than ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""Postgraduate""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""5–6""","""Kano"""
168342780,"10.2895993, 11.1374331","Aug 26th 2026, 9:47 am",pending,Mahmud ,"""yes""","""45–54""","""Male""","""Less than ₦10,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop","""₦50,000 – ₦150,000""","""5–6""","""Gombe"""
237848751,"9.0191841, 7.6416567","Aug 26th 2026, 9:49 am",pending,Blessing John,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Generator
Car
Refrigerator
Smartphone","""Below ₦50,000""","""1–2""","""Nasarawa"""
73235341,"5.1940483, 7.701815","Aug 26th 2026, 9:49 am",pending,Nsikan John Akpan ,"""yes""","""25–34""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""Above ₦700,000""","""5–6""","""Akwa Ibom"""
468482068,"9.0410807, 6.5669347","Aug 26th 2026, 9:50 am",pending,Juwairiyyat Abdullahi ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Always""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Living with family / free housing""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone
Computer/laptop","""₦150,001 – ₦350,000""","""3–4""","""Niger"""
280139110,"9.6014858, 6.5584891","Aug 26th 2026, 9:51 am",pending,Francis Ukama ,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Always""","""HND/Bachelor's degree""","""Employed full-time""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Generator
Car
Cable/satellite TV (DSTV, GOtv, etc.)
Air conditioner
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""1–2""","""Niger"""
150925300,"10.3040867, 9.804715","Aug 26th 2026, 9:51 am",pending,Ismail Abdullahi Idris,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Student""","""Middle management / skilled / supervisory""","""Rented — single room(s) / face-me-I-face-you""","Smartphone
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop","""Below ₦50,000""","""1–2""","""Bauchi"""
135729476,"8.8468449, 9.5386667","Aug 26th 2026, 9:51 am",pending,Edmond Yilbaan Benedict,"""yes""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Employed full-time""","""Junior staff / semi-skilled""","""Own home — detached house/duplex""","Smartphone
Generator
Cable/satellite TV (DSTV, GOtv, etc.)","""₦50,000 – ₦150,000""","""5–6""","""Plateau"""
64297581,"10.427265, 7.52386","Aug 26th 2026, 9:54 am",pending,Victoria Jonathan ,"""yes""","""35–44""","""Female""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦50,000 – ₦150,000""","""5–6""","""Kaduna"""
353596706,"9.6014858, 6.5584891","Aug 26th 2026, 9:55 am",pending,Moses Ukama,"""yes""","""45–54""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Cable/satellite TV (DSTV, GOtv, etc.)
Air conditioner
Refrigerator
Generator
Car
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""1–2""","""Niger"""
126653379,"8.5029494, 8.5211137","Aug 26th 2026, 9:56 am",pending,Charles ochim,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Always""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""",Air conditioner,"""Below ₦50,000""","""1–2""","""Nasarawa"""
361906933,"9.027201, 7.4857256","Aug 26th 2026, 9:56 am",pending,Titilayo Temitope Bonire ,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Car
Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦350,001 – ₦700,000""","""5–6""","""FCT (Abuja)"""
494411667,"4.9535635, 8.3511153","Aug 26th 2026, 9:56 am",pending,Uto Obot,"""yes""","""18–24""","""Female""","""Less than ₦10,000""","""Another household member/head decides""","""Rarely""","""Secondary""","""Student""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Car
Generator
Refrigerator
Computer/laptop
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)","""₦350,001 – ₦700,000""","""3–4""","""Cross River"""
376684913,"10.3562421, 9.8461518","Aug 26th 2026, 9:57 am",pending,Monsur Ojuroye ,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Often""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Bauchi"""
405048087,"8.1236856, 4.2354181","Aug 26th 2026, 9:57 am",pending,Oyeyiola Mary Dasola,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Junior staff / semi-skilled""","""Own home — flat/apartment""","Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Generator
Car","""₦350,001 – ₦700,000""","""5–6""","""Oyo"""
328740117,"6.6112392, 3.5210775","Aug 26th 2026, 9:58 am",pending,Ahmed Shoyoye,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Lagos"""
126046616,"12.2745477, 6.5618247","Aug 26th 2026, 9:59 am",pending,ABDULKADIR ABDULLAHI ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Computer/laptop
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator","""₦150,001 – ₦350,000""","""5–6""","""Zamfara"""
213772232,"9.3430648, 12.5107713","Aug 26th 2026, 9:59 am",pending,Dahiru mohammed ,"""yes""","""25–34""","""Male""","""₦10,000 – ₦29,999""","""Another household member/head decides""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦50,000 – ₦150,000""","""5–6""","""Adamawa"""
264711812,"10.2687929, 11.1524614","Aug 26th 2026, 10:00 am",pending,Afiniki Nuhu,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""Another household member/head decides""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Own home — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""5–6""","""Gombe"""
60918123,"12.4506636, 10.0354416","Aug 26th 2026, 10:03 am",pending,Hassan Umar waziri ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Rarely""","""Postgraduate""","""Self-employed / business owner""","""Senior management / professional (e.g., doctor, lawyer, exec)""","""Rented — flat/apartment""","Smartphone
Computer/laptop
Refrigerator","""₦150,001 – ₦350,000""","""3–4""","""Jigawa"""
404050606,"12.0281008, 8.5458509","Aug 26th 2026, 10:05 am",pending,BLESSING YILDAM ,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""Another household member/head decides""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Unemployed / none""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Kano"""
248880027,"12.2231183, 9.0674433","Aug 26th 2026, 10:05 am",pending,Salim Auwalu ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Student""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Computer/laptop
Generator
Smartphone
Refrigerator","""₦50,000 – ₦150,000""","""3–4""","""Jigawa"""
271267486,"5.1585281, 7.3244846","Aug 26th 2026, 10:06 am",pending,Maraizu Kingsley Chidiadi ,"""yes""","""35–44""","""Male""","""More than ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""7+""","""Abia"""
377130491,"8.1271142, 4.2331752","Aug 26th 2026, 10:07 am",pending,Adeleke Rebecca Olamide,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Always""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""","Computer/laptop
Cable/satellite TV (DSTV, GOtv, etc.)","""Below ₦50,000""","""1–2""","""Oyo"""
331032889,"6.43899, 7.500245","Aug 26th 2026, 10:07 am",pending,Ani Maureen ,"""yes""","""35–44""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Car
Generator
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦150,001 – ₦350,000""","""3–4""","""Enugu"""
262647037,"9.6056107, 6.5048097","Aug 26th 2026, 10:08 am",pending,Ibrahim Zainab ,"""yes""","""35–44""","""Female""","""₦70,000 – ₦150,000""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""Niger"""
55963333,"10.3184949, 9.88608","Aug 26th 2026, 10:09 am",pending,Halima Isah Ahmad ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Smartphone
Computer/laptop
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator","""₦50,000 – ₦150,000""","""7+""","""Bauchi"""
268296463,"12.1138731, 5.9245118","Aug 26th 2026, 10:12 am",pending,Tasiu Muhammad ,"""no""","""35–44""","""Male""","""₦10,000 – ₦29,999""","""I decide alone""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Junior staff / semi-skilled""","""Rented — flat/apartment""",Smartphone,"""₦50,000 – ₦150,000""","""7+""","""Zamfara"""
88375299,"6.5090856, 3.19664","Aug 26th 2026, 10:14 am",pending,Peter,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Rarely""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Computer/laptop
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Generator","""₦50,000 – ₦150,000""","""3–4""","""Lagos"""
105387228,"4.9539633, 8.34992","Aug 26th 2026, 10:14 am",pending,Chika,"""yes""","""18–24""","""Female""","""₦30,000 – ₦69,999""","""I am not involved in these decisions""","""Rarely""","""Secondary""","""Student""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Smartphone
Computer/laptop
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)","""₦350,001 – ₦700,000""","""5–6""","""Cross River"""
4775825,"9.5715267, 6.5514932","Aug 26th 2026, 10:15 am",pending,Nuradeen Alhassan ,"""yes""","""35–44""","""Male""","""₦70,000 – ₦150,000""","""I decide alone""","""Often""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop","""₦50,000 – ₦150,000""","""1–2""","""Niger"""
266342664,"13.0113283, 7.5878133","Aug 26th 2026, 10:16 am",pending,Aisha Abubakar Abe,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Often""","""Postgraduate""","""Employed part-time""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Car
Generator
Air conditioner
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦50,000 – ₦150,000""","""5–6""","""Katsina"""
202337686,"9.5986363, 6.5653968","Aug 26th 2026, 10:18 am",pending,Patience Amos,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide alone""","""Sometimes""","""HND/Bachelor's degree""","""Employed part-time""","""Middle management / skilled / supervisory""","""Own home — flat/apartment""","Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone
Air conditioner
Car","""Above ₦700,000""","""3–4""","""Plateau"""
378556519,"6.658405, 3.2576317","Aug 26th 2026, 10:23 am",pending,Rebecca Godwin ,"""yes""","""25–34""","""Female""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Generator
Refrigerator
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop
Smartphone","""₦350,001 – ₦700,000""","""5–6""","""Lagos"""
27620353,"8.9704491, 7.3250876","Aug 26th 2026, 10:24 am",pending,Bulus Samson Duniya ,"""yes""","""25–34""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Self-employed / business owner""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Car
Refrigerator
Smartphone","""₦50,000 – ₦150,000""","""3–4""","""FCT (Abuja)"""
494786401,"10.3184583, 9.8860667","Aug 26th 2026, 10:24 am",pending,Halima Isah Ahmad ,"""yes""","""25–34""","""Female""","""₦10,000 – ₦29,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""OND/NCE""","""Employed part-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Refrigerator
Computer/laptop","""₦50,000 – ₦150,000""","""7+""","""Bauchi"""
288118790,"9.9167662, 11.0033144","Aug 26th 2026, 10:28 am",pending,DANJUMA MUHAMMAD SAADU ,"""yes""","""35–44""","""Male""","""₦30,000 – ₦69,999""","""I decide jointly with a spouse/partner""","""Sometimes""","""HND/Bachelor's degree""","""Employed full-time""","""Middle management / skilled / supervisory""","""Rented — flat/apartment""","Refrigerator
Smartphone
Cable/satellite TV (DSTV, GOtv, etc.)
Computer/laptop","""₦150,001 – ₦350,000""","""5–6""","""Gombe"""
